'2018/05/05 19:00:35 +0900', 26.1, 34, 1016, 50.3, 37.94, 23.83, 61.97
'2018/05/05 19:30:57 +0900', 25.8, 34, 1016, 48.7, 45.69, 19.76, 59.518
'2018/05/05 20:00:12 +0900', 25.7, 35, 1017, 49.2, 41.64, 23.87, 47.986
'2018/05/05 20:30:40 +0900', 25.7, 36, 1017, 49.2, 42.19, 23.49, 55.107
'2018/05/05 21:30:25 +0900', 25.8, 38, 1017, 49.2, 40.05, 24.66, 50.375
'2018/05/05 22:00:47 +0900', 25.8, 39, 1017, 48.7, 42.09, 18.64, 49.632
'2018/05/05 22:30:03 +0900', 25.8, 39, 1018, 48.7, 42.63, 24.00, 58.558
'2018/05/05 23:00:30 +0900', 26.0, 40, 1017, 49.2, 44.67, 24.85, 50.684
'2018/05/05 23:30:57 +0900', 26.5, 40, 1017, 49.8, 42.32, 17.93, 47.394
'2018/05/06 00:00:11 +0900', 26.7, 39, 1017, 49.8, 38.57, 18.82, 51.339
'2018/05/06 00:30:36 +0900', 26.7, 39, 1017, 50.3, 40.25, 24.10, 61.068
'2018/05/06 01:30:21 +0900', 26.5, 40, 1016, 49.8, 50.51, 24.77, 51.84
'2018/05/06 02:00:35 +0900', 26.2, 40, 1017, 49.2, 50.51, 24.77, 51.84
'2018/05/06 03:00:21 +0900', 26.0, 40, 1016, 49.2, 41.05, 23.59, 58.06
'2018/05/06 03:30:46 +0900', 25.9, 40, 1016, 49.2, 43.14, 22.40, 50.005
'2018/05/06 04:00:03 +0900', 25.8, 40, 1016, 48.7, 39.22, 23.27, 54.845
'2018/05/06 04:30:31 +0900', 25.7, 39, 1016, 48.7, 43.87, 20.78, 61.353
'2018/05/06 05:00:54 +0900', 25.6, 39, 1015, 49.2, 40.70, 23.22, 58.012
'2018/05/06 05:30:09 +0900', 25.6, 39, 1015, 48.7, 39.90, 21.81, 57.757
'2018/05/06 06:00:35 +0900', 25.5, 39, 1016, 49.2, 44.80, 24.57, 47.949
'2018/05/06 07:00:20 +0900', 25.5, 39, 1015, 48.7, 44.87, 23.10, 57.599
'2018/05/06 07:30:35 +0900', 25.4, 39, 1015, 48.7, 44.87, 23.10, 57.599
'2018/05/06 08:30:19 +0900', 25.5, 40, 1015, 48.7, 46.31, 24.06, 48.869
'2018/05/06 09:00:34 +0900', 25.6, 40, 1015, 48.7, 46.31, 24.06, 48.869
'2018/05/06 09:30:56 +0900', 25.8, 41, 1015, 49.2, 43.65, 18.41, 57.403
'2018/05/06 10:00:15 +0900', 26.0, 41, 1015, 49.2, 51.19, 20.02, 69.964
'2018/05/06 10:30:30 +0900', 25.8, 40, 1015, 48.7, 51.19, 20.02, 69.964
'2018/05/06 11:00:54 +0900', 25.8, 40, 1014, 49.2, 41.25, 24.88, 55.578
'2018/05/06 11:30:10 +0900', 25.7, 38, 1014, 48.7, 39.21, 18.03, 59.002
'2018/05/06 12:00:36 +0900', 25.8, 42, 1013, 48.7, 39.36, 24.95, 51.218
'2018/05/06 12:30:58 +0900', 25.8, 40, 1012, 49.2, 39.97, 13.06, 52.721
'2018/05/06 13:00:15 +0900', 25.8, 39, 1012, 49.2, 44.45, 24.41, 48.55
'2018/05/06 13:30:30 +0900', 25.8, 39, 1012, 48.7, 44.45, 24.41, 48.55
'2018/05/06 14:00:52 +0900', 25.8, 39, 1012, 49.2, 41.14, 24.19, 48.299
'2018/05/06 14:30:12 +0900', 25.8, 39, 1011, 49.2, 44.89, 24.77, 49.771
'2018/05/06 15:00:37 +0900', 25.8, 40, 1012, 48.7, 45.05, 20.31, 67.843
'2018/05/06 16:00:23 +0900', 25.8, 40, 1011, 48.7, 39.44, 13.68, 57.904
'2018/05/06 16:30:48 +0900', 25.8, 40, 1011, 48.7, 39.43, 23.18, 54.762
'2018/05/06 17:00:07 +0900', 25.8, 40, 1011, 48.7, 49.83, 24.80, 50.32
'2018/05/06 17:30:31 +0900', 25.8, 41, 1011, 48.7, 40.10, 22.24, 52.896
'2018/05/06 18:00:57 +0900', 25.8, 41, 1011, 49.2, 50.76, 7.40, 57.725
'2018/05/06 18:30:13 +0900', 25.8, 41, 1011, 49.8, 42.53, 21.79, 50.648
'2018/05/06 19:00:38 +0900', 26.2, 42, 1010, 50.3, 51.45, 2.47, 63.756
'2018/05/06 20:00:18 +0900', 26.9, 40, 1010, 50.3, 43.71, 12.40, 55.289
'2018/05/06 20:30:33 +0900', 27.1, 40, 1010, 50.8, 43.71, 12.40, 55.289
'2018/05/06 21:30:19 +0900', 27.3, 40, 1010, 49.8, 49.80, 21.56, 54.716
